,indices_behind_to_use_range,number_of_nearby_locations_to_use,hidden_layer_sizes,alpha,airlocation_id,nearby_airlocation_ids,prediction_type,error_results
0,"range(0, 1, 2)",1.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 17.24916359373535, '24_ahead': 22.925271920322711, '35_ahead': 25.354653152896407, '2_ahead': 8.2324647340834094, '46_ahead': 27.931777113637501}"
1,"range(0, 1, 2)",1.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.624611805531121, '24_ahead': 22.860409101820274, '35_ahead': 27.181019488721184, '2_ahead': 6.5368460855262427, '46_ahead': 31.047248432417582}"
2,"range(0, 1, 2)",1.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.507362325496832, '24_ahead': 21.607064915311476, '35_ahead': 25.283355484223357, '2_ahead': 7.9811576287140653, '46_ahead': 29.2455440050086}"
3,"range(0, 1, 2)",1.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.535702645173725, '24_ahead': 22.92763460728089, '35_ahead': 27.470029513634234, '2_ahead': 4.6364526464783857, '46_ahead': 30.84567450281434}"
4,"range(0, 1, 2)",1.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.080024609437796, '24_ahead': 21.17032293666891, '35_ahead': 25.793490975857676, '2_ahead': 7.057229802443775, '46_ahead': 28.181368409188501}"
5,"range(0, 1, 2)",1.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.274845278044211, '24_ahead': 23.17938410187341, '35_ahead': 27.843768051308537, '2_ahead': 3.9690771897111223, '46_ahead': 31.250070702709031}"
6,"range(0, 1, 2)",1.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 17.025098607231904, '24_ahead': 21.29300071472068, '35_ahead': 25.313977503140794, '2_ahead': 5.5927580900143985, '46_ahead': 29.231670094239131}"
7,"range(0, 1, 2)",1.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.586920154247963, '24_ahead': 23.351604434234666, '35_ahead': 27.922357086738963, '2_ahead': 3.977523586914653, '46_ahead': 31.07513398994336}"
8,"range(0, 1, 2)",1.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.776098056978142, '24_ahead': 20.704500083099092, '35_ahead': 21.343563293099972, '2_ahead': 5.5425610486445214, '46_ahead': 23.831157465338826}"
9,"range(0, 1, 2)",1.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.444505477954142, '24_ahead': 22.841508535593118, '35_ahead': 27.413553755616459, '2_ahead': 3.7839045152670718, '46_ahead': 30.684523252488002}"
10,"range(0, 1, 2)",1.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.424910743544151, '24_ahead': 20.300439339176027, '35_ahead': 23.104669094340164, '2_ahead': 5.2584824438758861, '46_ahead': 24.069834917118612}"
11,"range(0, 1, 2)",1.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.700141234649109, '24_ahead': 23.115842316299375, '35_ahead': 27.771196878773857, '2_ahead': 3.7593122326866881, '46_ahead': 31.198386303696349}"
12,"range(0, 1, 2)",1.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.754850498488841, '24_ahead': 21.332901441087351, '35_ahead': 23.126917365377313, '2_ahead': 5.2044516937598493, '46_ahead': 25.605009632950466}"
13,"range(0, 1, 2)",1.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.328155240676214, '24_ahead': 22.815336524307551, '35_ahead': 27.384049030626439, '2_ahead': 3.7315666942670243, '46_ahead': 30.77350569543761}"
14,"range(0, 1, 2)",1.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.479029254253287, '24_ahead': 20.108373084585413, '35_ahead': 21.711147832229447, '2_ahead': 5.8613222487043224, '46_ahead': 25.76265411209674}"
15,"range(0, 1, 2)",1.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.485459489307875, '24_ahead': 23.070516792259447, '35_ahead': 27.717123914525647, '2_ahead': 3.868803076458569, '46_ahead': 31.040144373055607}"
16,"range(0, 1, 2)",1.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.000990034264269, '24_ahead': 19.730117694233147, '35_ahead': 23.438877375848811, '2_ahead': 5.898418392048943, '46_ahead': 24.755265985242069}"
